,Label,ImagePath,encoded_label
0,000-L,DataSet/CASIA-Iris-Thousand/000/L/S5000L00.jpg,0
1,000-L,DataSet/CASIA-Iris-Thousand/000/L/S5000L08.jpg,0
2,000-L,DataSet/CASIA-Iris-Thousand/000/L/S5000L07.jpg,0
3,000-L,DataSet/CASIA-Iris-Thousand/000/L/S5000L02.jpg,0
4,000-L,DataSet/CASIA-Iris-Thousand/000/L/S5000L06.jpg,0
5,000-L,DataSet/CASIA-Iris-Thousand/000/L/S5000L05.jpg,0
6,000-L,DataSet/CASIA-Iris-Thousand/000/L/S5000L01.jpg,0
7,000-L,DataSet/CASIA-Iris-Thousand/000/L/S5000L09.jpg,0
8,000-L,DataSet/CASIA-Iris-Thousand/000/L/S5000L04.jpg,0
9,000-L,DataSet/CASIA-Iris-Thousand/000/L/S5000L03.jpg,0
10,000-R,DataSet/CASIA-Iris-Thousand/000/R/S5000R07.jpg,1
11,000-R,DataSet/CASIA-Iris-Thousand/000/R/S5000R01.jpg,1
12,000-R,DataSet/CASIA-Iris-Thousand/000/R/S5000R05.jpg,1
13,000-R,DataSet/CASIA-Iris-Thousand/000/R/S5000R02.jpg,1
14,000-R,DataSet/CASIA-Iris-Thousand/000/R/S5000R08.jpg,1
15,000-R,DataSet/CASIA-Iris-Thousand/000/R/S5000R06.jpg,1
16,000-R,DataSet/CASIA-Iris-Thousand/000/R/S5000R03.jpg,1
17,000-R,DataSet/CASIA-Iris-Thousand/000/R/S5000R00.jpg,1
18,000-R,DataSet/CASIA-Iris-Thousand/000/R/S5000R04.jpg,1
19,000-R,DataSet/CASIA-Iris-Thousand/000/R/S5000R09.jpg,1
20,001-L,DataSet/CASIA-Iris-Thousand/001/L/S5001L08.jpg,2
21,001-L,DataSet/CASIA-Iris-Thousand/001/L/S5001L07.jpg,2
22,001-L,DataSet/CASIA-Iris-Thousand/001/L/S5001L00.jpg,2
23,001-L,DataSet/CASIA-Iris-Thousand/001/L/S5001L06.jpg,2
24,001-L,DataSet/CASIA-Iris-Thousand/001/L/S5001L09.jpg,2
25,001-L,DataSet/CASIA-Iris-Thousand/001/L/S5001L01.jpg,2
26,001-L,DataSet/CASIA-Iris-Thousand/001/L/S5001L04.jpg,2
27,001-L,DataSet/CASIA-Iris-Thousand/001/L/S5001L05.jpg,2
28,001-L,DataSet/CASIA-Iris-Thousand/001/L/S5001L02.jpg,2
29,001-L,DataSet/CASIA-Iris-Thousand/001/L/S5001L03.jpg,2
30,001-R,DataSet/CASIA-Iris-Thousand/001/R/S5001R09.jpg,3
31,001-R,DataSet/CASIA-Iris-Thousand/001/R/S5001R06.jpg,3
32,001-R,DataSet/CASIA-Iris-Thousand/001/R/S5001R05.jpg,3
33,001-R,DataSet/CASIA-Iris-Thousand/001/R/S5001R00.jpg,3
34,001-R,DataSet/CASIA-Iris-Thousand/001/R/S5001R03.jpg,3
35,001-R,DataSet/CASIA-Iris-Thousand/001/R/S5001R01.jpg,3
36,001-R,DataSet/CASIA-Iris-Thousand/001/R/S5001R08.jpg,3
37,001-R,DataSet/CASIA-Iris-Thousand/001/R/S5001R04.jpg,3
38,001-R,DataSet/CASIA-Iris-Thousand/001/R/S5001R07.jpg,3
39,001-R,DataSet/CASIA-Iris-Thousand/001/R/S5001R02.jpg,3
40,002-L,DataSet/CASIA-Iris-Thousand/002/L/S5002L07.jpg,4
41,002-L,DataSet/CASIA-Iris-Thousand/002/L/S5002L03.jpg,4
42,002-L,DataSet/CASIA-Iris-Thousand/002/L/S5002L02.jpg,4
43,002-L,DataSet/CASIA-Iris-Thousand/002/L/S5002L09.jpg,4
44,002-L,DataSet/CASIA-Iris-Thousand/002/L/S5002L04.jpg,4
45,002-L,DataSet/CASIA-Iris-Thousand/002/L/S5002L01.jpg,4
46,002-L,DataSet/CASIA-Iris-Thousand/002/L/S5002L06.jpg,4
47,002-L,DataSet/CASIA-Iris-Thousand/002/L/S5002L08.jpg,4
48,002-L,DataSet/CASIA-Iris-Thousand/002/L/S5002L05.jpg,4
49,002-L,DataSet/CASIA-Iris-Thousand/002/L/S5002L00.jpg,4
50,002-R,DataSet/CASIA-Iris-Thousand/002/R/S5002R03.jpg,5
51,002-R,DataSet/CASIA-Iris-Thousand/002/R/S5002R04.jpg,5
52,002-R,DataSet/CASIA-Iris-Thousand/002/R/S5002R09.jpg,5
53,002-R,DataSet/CASIA-Iris-Thousand/002/R/S5002R05.jpg,5
54,002-R,DataSet/CASIA-Iris-Thousand/002/R/S5002R00.jpg,5
