,Label,ImagePath,encoded_label
0,000-L,DataSet/CASIA-Iris-Thousand/000/L/S5000L04.jpg,0
1,000-L,DataSet/CASIA-Iris-Thousand/000/L/S5000L08.jpg,0
2,000-L,DataSet/CASIA-Iris-Thousand/000/L/S5000L06.jpg,0
3,000-L,DataSet/CASIA-Iris-Thousand/000/L/S5000L05.jpg,0
4,000-L,DataSet/CASIA-Iris-Thousand/000/L/S5000L09.jpg,0
5,000-L,DataSet/CASIA-Iris-Thousand/000/L/S5000L03.jpg,0
6,000-L,DataSet/CASIA-Iris-Thousand/000/L/S5000L00.jpg,0
7,000-L,DataSet/CASIA-Iris-Thousand/000/L/S5000L07.jpg,0
8,000-R,DataSet/CASIA-Iris-Thousand/000/R/S5000R01.jpg,1
9,000-R,DataSet/CASIA-Iris-Thousand/000/R/S5000R04.jpg,1
10,000-R,DataSet/CASIA-Iris-Thousand/000/R/S5000R09.jpg,1
11,000-R,DataSet/CASIA-Iris-Thousand/000/R/S5000R07.jpg,1
12,000-R,DataSet/CASIA-Iris-Thousand/000/R/S5000R08.jpg,1
13,000-R,DataSet/CASIA-Iris-Thousand/000/R/S5000R06.jpg,1
14,000-R,DataSet/CASIA-Iris-Thousand/000/R/S5000R02.jpg,1
15,000-R,DataSet/CASIA-Iris-Thousand/000/R/S5000R00.jpg,1
16,001-L,DataSet/CASIA-Iris-Thousand/001/L/S5001L08.jpg,2
17,001-L,DataSet/CASIA-Iris-Thousand/001/L/S5001L02.jpg,2
18,001-L,DataSet/CASIA-Iris-Thousand/001/L/S5001L05.jpg,2
19,001-L,DataSet/CASIA-Iris-Thousand/001/L/S5001L04.jpg,2
20,001-L,DataSet/CASIA-Iris-Thousand/001/L/S5001L06.jpg,2
21,001-L,DataSet/CASIA-Iris-Thousand/001/L/S5001L03.jpg,2
22,001-L,DataSet/CASIA-Iris-Thousand/001/L/S5001L00.jpg,2
23,001-L,DataSet/CASIA-Iris-Thousand/001/L/S5001L01.jpg,2
24,001-R,DataSet/CASIA-Iris-Thousand/001/R/S5001R09.jpg,3
25,001-R,DataSet/CASIA-Iris-Thousand/001/R/S5001R08.jpg,3
26,001-R,DataSet/CASIA-Iris-Thousand/001/R/S5001R06.jpg,3
27,001-R,DataSet/CASIA-Iris-Thousand/001/R/S5001R05.jpg,3
28,001-R,DataSet/CASIA-Iris-Thousand/001/R/S5001R00.jpg,3
29,001-R,DataSet/CASIA-Iris-Thousand/001/R/S5001R03.jpg,3
30,001-R,DataSet/CASIA-Iris-Thousand/001/R/S5001R07.jpg,3
31,001-R,DataSet/CASIA-Iris-Thousand/001/R/S5001R04.jpg,3
32,002-L,DataSet/CASIA-Iris-Thousand/002/L/S5002L05.jpg,4
33,002-L,DataSet/CASIA-Iris-Thousand/002/L/S5002L06.jpg,4
34,002-L,DataSet/CASIA-Iris-Thousand/002/L/S5002L08.jpg,4
35,002-L,DataSet/CASIA-Iris-Thousand/002/L/S5002L07.jpg,4
36,002-L,DataSet/CASIA-Iris-Thousand/002/L/S5002L04.jpg,4
37,002-L,DataSet/CASIA-Iris-Thousand/002/L/S5002L09.jpg,4
38,002-L,DataSet/CASIA-Iris-Thousand/002/L/S5002L01.jpg,4
39,002-L,DataSet/CASIA-Iris-Thousand/002/L/S5002L03.jpg,4
40,002-R,DataSet/CASIA-Iris-Thousand/002/R/S5002R04.jpg,5
41,002-R,DataSet/CASIA-Iris-Thousand/002/R/S5002R03.jpg,5
42,002-R,DataSet/CASIA-Iris-Thousand/002/R/S5002R02.jpg,5
43,002-R,DataSet/CASIA-Iris-Thousand/002/R/S5002R07.jpg,5
44,002-R,DataSet/CASIA-Iris-Thousand/002/R/S5002R01.jpg,5
45,002-R,DataSet/CASIA-Iris-Thousand/002/R/S5002R09.jpg,5
46,002-R,DataSet/CASIA-Iris-Thousand/002/R/S5002R05.jpg,5
47,002-R,DataSet/CASIA-Iris-Thousand/002/R/S5002R08.jpg,5
48,003-L,DataSet/CASIA-Iris-Thousand/003/L/S5003L00.jpg,6
49,003-L,DataSet/CASIA-Iris-Thousand/003/L/S5003L04.jpg,6
50,003-L,DataSet/CASIA-Iris-Thousand/003/L/S5003L08.jpg,6
51,003-L,DataSet/CASIA-Iris-Thousand/003/L/S5003L07.jpg,6
52,003-L,DataSet/CASIA-Iris-Thousand/003/L/S5003L05.jpg,6
53,003-L,DataSet/CASIA-Iris-Thousand/003/L/S5003L02.jpg,6
54,003-L,DataSet/CASIA-Iris-Thousand/003/L/S5003L01.jpg,6
55,003-L,DataSet/CASIA-Iris-Thousand/003/L/S5003L03.jpg,6
56,003-R,DataSet/CASIA-Iris-Thousand/003/R/S5003R06.jpg,7
57,003-R,DataSet/CASIA-Iris-Thousand/003/R/S5003R07.jpg,7
58,003-R,DataSet/CASIA-Iris-Thousand/003/R/S5003R01.jpg,7
59,003-R,DataSet/CASIA-Iris-Thousand/003/R/S5003R00.jpg,7
60,003-R,DataSet/CASIA-Iris-Thousand/003/R/S5003R04.jpg,7
61,003-R,DataSet/CASIA-Iris-Thousand/003/R/S5003R02.jpg,7
62,003-R,DataSet/CASIA-Iris-Thousand/003/R/S5003R08.jpg,7
63,003-R,DataSet/CASIA-Iris-Thousand/003/R/S5003R09.jpg,7
64,004-L,DataSet/CASIA-Iris-Thousand/004/L/S5004L05.jpg,8
65,004-L,DataSet/CASIA-Iris-Thousand/004/L/S5004L08.jpg,8
66,004-L,DataSet/CASIA-Iris-Thousand/004/L/S5004L02.jpg,8
67,004-L,DataSet/CASIA-Iris-Thousand/004/L/S5004L00.jpg,8
68,004-L,DataSet/CASIA-Iris-Thousand/004/L/S5004L04.jpg,8
69,004-L,DataSet/CASIA-Iris-Thousand/004/L/S5004L09.jpg,8
70,004-L,DataSet/CASIA-Iris-Thousand/004/L/S5004L03.jpg,8
71,004-L,DataSet/CASIA-Iris-Thousand/004/L/S5004L07.jpg,8
72,004-R,DataSet/CASIA-Iris-Thousand/004/R/S5004R03.jpg,9
73,004-R,DataSet/CASIA-Iris-Thousand/004/R/S5004R08.jpg,9
74,004-R,DataSet/CASIA-Iris-Thousand/004/R/S5004R01.jpg,9
75,004-R,DataSet/CASIA-Iris-Thousand/004/R/S5004R04.jpg,9
76,004-R,DataSet/CASIA-Iris-Thousand/004/R/S5004R09.jpg,9
77,004-R,DataSet/CASIA-Iris-Thousand/004/R/S5004R07.jpg,9
78,004-R,DataSet/CASIA-Iris-Thousand/004/R/S5004R05.jpg,9
79,004-R,DataSet/CASIA-Iris-Thousand/004/R/S5004R00.jpg,9
80,005-L,DataSet/CASIA-Iris-Thousand/005/L/S5005L00.jpg,10
81,005-L,DataSet/CASIA-Iris-Thousand/005/L/S5005L03.jpg,10
82,005-L,DataSet/CASIA-Iris-Thousand/005/L/S5005L09.jpg,10
83,005-L,DataSet/CASIA-Iris-Thousand/005/L/S5005L07.jpg,10
84,005-L,DataSet/CASIA-Iris-Thousand/005/L/S5005L02.jpg,10
85,005-L,DataSet/CASIA-Iris-Thousand/005/L/S5005L01.jpg,10
86,005-L,DataSet/CASIA-Iris-Thousand/005/L/S5005L05.jpg,10
87,005-L,DataSet/CASIA-Iris-Thousand/005/L/S5005L06.jpg,10
88,005-R,DataSet/CASIA-Iris-Thousand/005/R/S5005R09.jpg,11
89,005-R,DataSet/CASIA-Iris-Thousand/005/R/S5005R05.jpg,11
90,005-R,DataSet/CASIA-Iris-Thousand/005/R/S5005R00.jpg,11
91,005-R,DataSet/CASIA-Iris-Thousand/005/R/S5005R02.jpg,11
92,005-R,DataSet/CASIA-Iris-Thousand/005/R/S5005R08.jpg,11
93,005-R,DataSet/CASIA-Iris-Thousand/005/R/S5005R03.jpg,11
94,005-R,DataSet/CASIA-Iris-Thousand/005/R/S5005R06.jpg,11
95,005-R,DataSet/CASIA-Iris-Thousand/005/R/S5005R04.jpg,11
96,006-L,DataSet/CASIA-Iris-Thousand/006/L/S5006L06.jpg,12
97,006-L,DataSet/CASIA-Iris-Thousand/006/L/S5006L09.jpg,12
98,006-L,DataSet/CASIA-Iris-Thousand/006/L/S5006L02.jpg,12
99,006-L,DataSet/CASIA-Iris-Thousand/006/L/S5006L07.jpg,12
100,006-L,DataSet/CASIA-Iris-Thousand/006/L/S5006L04.jpg,12
101,006-L,DataSet/CASIA-Iris-Thousand/006/L/S5006L00.jpg,12
102,006-L,DataSet/CASIA-Iris-Thousand/006/L/S5006L01.jpg,12
103,006-L,DataSet/CASIA-Iris-Thousand/006/L/S5006L05.jpg,12
104,006-R,DataSet/CASIA-Iris-Thousand/006/R/S5006R01.jpg,13
105,006-R,DataSet/CASIA-Iris-Thousand/006/R/S5006R00.jpg,13
106,006-R,DataSet/CASIA-Iris-Thousand/006/R/S5006R04.jpg,13
107,006-R,DataSet/CASIA-Iris-Thousand/006/R/S5006R02.jpg,13
108,006-R,DataSet/CASIA-Iris-Thousand/006/R/S5006R05.jpg,13
109,006-R,DataSet/CASIA-Iris-Thousand/006/R/S5006R07.jpg,13
110,006-R,DataSet/CASIA-Iris-Thousand/006/R/S5006R03.jpg,13
111,006-R,DataSet/CASIA-Iris-Thousand/006/R/S5006R06.jpg,13
112,007-L,DataSet/CASIA-Iris-Thousand/007/L/S5007L02.jpg,14
113,007-L,DataSet/CASIA-Iris-Thousand/007/L/S5007L06.jpg,14
114,007-L,DataSet/CASIA-Iris-Thousand/007/L/S5007L05.jpg,14
115,007-L,DataSet/CASIA-Iris-Thousand/007/L/S5007L08.jpg,14
116,007-L,DataSet/CASIA-Iris-Thousand/007/L/S5007L07.jpg,14
117,007-L,DataSet/CASIA-Iris-Thousand/007/L/S5007L01.jpg,14
118,007-L,DataSet/CASIA-Iris-Thousand/007/L/S5007L00.jpg,14
119,007-L,DataSet/CASIA-Iris-Thousand/007/L/S5007L03.jpg,14
120,007-R,DataSet/CASIA-Iris-Thousand/007/R/S5007R04.jpg,15
121,007-R,DataSet/CASIA-Iris-Thousand/007/R/S5007R08.jpg,15
122,007-R,DataSet/CASIA-Iris-Thousand/007/R/S5007R09.jpg,15
123,007-R,DataSet/CASIA-Iris-Thousand/007/R/S5007R03.jpg,15
124,007-R,DataSet/CASIA-Iris-Thousand/007/R/S5007R01.jpg,15
125,007-R,DataSet/CASIA-Iris-Thousand/007/R/S5007R07.jpg,15
126,007-R,DataSet/CASIA-Iris-Thousand/007/R/S5007R00.jpg,15
127,007-R,DataSet/CASIA-Iris-Thousand/007/R/S5007R05.jpg,15
128,008-L,DataSet/CASIA-Iris-Thousand/008/L/S5008L07.jpg,16
129,008-L,DataSet/CASIA-Iris-Thousand/008/L/S5008L06.jpg,16
130,008-L,DataSet/CASIA-Iris-Thousand/008/L/S5008L02.jpg,16
131,008-L,DataSet/CASIA-Iris-Thousand/008/L/S5008L09.jpg,16
